endpoint,outcome,model,ratio_3bnc,ratio_1074,ratio_vrc,% viruses
auc,50%,amp,0,0.19,0.81,58
auc,50%,amp,0,0,1,55
auc,50%,amp,0.01,0.99,0,39
auc,50%,pegu,0,0.2,0.8,87
auc,50%,pegu,0.04,0,0.96,83
auc,50%,pegu,0.69,0.31,0,61
trough,50%,amp,0,0.23,0.77,40
trough,50%,amp,0.01,0,0.99,33
trough,50%,amp,0.01,0.99,0,34
trough,50%,pegu,0,0.17,0.83,78
trough,50%,pegu,0.01,0,0.99,71
trough,50%,pegu,0.35,0.65,0,51
auc,95%,amp,0,0.46,0.54,24
auc,95%,amp,0.01,0,0.99,18
auc,95%,amp,0,1,0,19
auc,95%,pegu,0,0.26,0.74,49
auc,95%,pegu,0.03,0,0.97,39
auc,95%,pegu,0.02,0.98,0,31
trough,95%,amp,0,0.98,0.02,15
trough,95%,amp,0,0,1,8
trough,95%,amp,0.01,0.99,0,14
trough,95%,pegu,0,0.44,0.56,31
trough,95%,pegu,0,0,1,19
trough,95%,pegu,0.01,0.99,0,25
auc,50%,amp,0,0.2,0.8,58
auc,50%,pegu,0.04,0.19,0.77,88
trough,50%,amp,0.03,0.24,0.73,40
trough,50%,pegu,0.07,0.2,0.72,78
auc,95%,amp,0,0.46,0.54,24
auc,95%,pegu,0.01,0.27,0.72,49
trough,95%,amp,0.09,0.71,0.2,15
trough,95%,pegu,0.08,0.33,0.59,31
